##Iter	TotalE	TotalM
1335 -100 54 2916
1336 -100 54 2916
1337 -100 54 2916
1338 -100 54 2916
1339 -104 56 3136
1340 -104 56 3136
1341 -104 56 3136
1342 -104 58 3364
1343 -104 58 3364
1344 -104 58 3364
1345 -104 58 3364
1346 -104 58 3364
1347 -104 58 3364
1348 -104 58 3364
1349 -104 58 3364
1350 -104 58 3364
1351 -104 58 3364
1352 -104 58 3364
1353 -104 58 3364
1354 -104 58 3364
1355 -104 58 3364
1356 -104 58 3364
1357 -104 58 3364
1358 -104 58 3364
1359 -104 58 3364
1360 -104 58 3364
1361 -104 58 3364
1362 -104 58 3364
1363 -104 58 3364
1364 -104 58 3364
1365 -104 58 3364
1366 -104 56 3136
1367 -104 56 3136
1368 -104 56 3136
1369 -104 56 3136
1370 -104 56 3136
1371 -104 56 3136
1372 -104 56 3136
1373 -104 56 3136
1374 -104 56 3136
1375 -104 56 3136
1376 -104 56 3136
1377 -104 56 3136
1378 -104 56 3136
1379 -104 56 3136
1380 -104 56 3136
1381 -104 56 3136
1382 -104 56 3136
1383 -104 56 3136
1384 -104 56 3136
1385 -104 56 3136
1386 -104 56 3136
1387 -112 58 3364
1388 -112 60 3600
1389 -112 60 3600
1390 -112 60 3600
1391 -112 60 3600
1392 -112 60 3600
1393 -112 60 3600
1394 -112 60 3600
1395 -112 60 3600
1396 -112 60 3600
